Month;Registrations
01/08/2016;72004
01/09/2016;154393
01/10/2016;147435
01/11/2016;146397
01/12/2016;125062
01/01/2017;172035
01/02/2017;184349
01/03/2017;226780
01/04/2017;160969
01/05/2017;204806
01/06/2017;188363
01/07/2017;145944
01/08/2017;83638
01/09/2017;167469
01/10/2017;158417
01/11/2017;156886
01/12/2017;121689
01/01/2018;178323
01/02/2018;182228
01/03/2018;214247
01/04/2018;171886
01/05/2018;199693
01/06/2018;175271
01/07/2018;152949
01/08/2018;91791
01/09/2018;125354
01/10/2018;147038
01/11/2018;147386
01/12/2018;124535
01/01/2019;165271
01/02/2019;178494
01/03/2019;194302
01/04/2019;174924
01/05/2019;197882
01/06/2019;172313
01/07/2019;153336
01/08/2019;89186
01/09/2019;142532
01/10/2019;157262
01/11/2019;151001
01/12/2019;140448
01/01/2020;155869
01/02/2020;163125
01/03/2020;28415
01/04/2020;4295
01/05/2020;99842
01/06/2020;132691
01/07/2020;136769
01/08/2020;88973
01/09/2020;156357
01/10/2020;157188
01/11/2020;138612
01/12/2020;119620
01/01/2021;134197
01/02/2021;143158
01/03/2021;169885
01/04/2021;145242
01/05/2021;142930
01/06/2021;149668
01/07/2021;110511
01/08/2021;64766
01/09/2021;105312
01/10/2021;101092
01/11/2021;104512
01/12/2021;86679
01/01/2022;107814
01/02/2022;110869
01/03/2022;119497
01/04/2022;97339
01/05/2022;121299
01/06/2022;127209
